,Username,Repo_Name,Stars,Repo_Url
0,mrdoob,three.js,78500,https://github.com/mrdoob/three.js
1,libgdx,libgdx,19600,https://github.com/libgdx/libgdx
2,pmndrs,react-three-fiber,16600,https://github.com/pmndrs/react-three-fiber
3,BabylonJS,Babylon.js,15800,https://github.com/BabylonJS/Babylon.js
4,aframevr,aframe,13700,https://github.com/aframevr/aframe
5,ssloy,tinyrenderer,12000,https://github.com/ssloy/tinyrenderer
6,lettier,3d-game-shaders-for-beginners,12000,https://github.com/lettier/3d-game-shaders-for-beginners
7,FreeCAD,FreeCAD,10600,https://github.com/FreeCAD/FreeCAD
8,metafizzy,zdog,9000,https://github.com/metafizzy/zdog
9,CesiumGS,cesium,8200,https://github.com/CesiumGS/cesium
10,timzhang642,3D-Machine-Learning,7600,https://github.com/timzhang642/3D-Machine-Learning
11,a1studmuffin,SpaceshipGenerator,7000,https://github.com/a1studmuffin/SpaceshipGenerator
12,isl-org,Open3D,6100,https://github.com/isl-org/Open3D
13,domlysz,BlenderGIS,4800,https://github.com/domlysz/BlenderGIS
14,spritejs,spritejs,4800,https://github.com/spritejs/spritejs
15,blender,blender,4600,https://github.com/blender/blender
16,tensorspace-team,tensorspace,4600,https://github.com/tensorspace-team/tensorspace
17,jagenjo,webglstudio.js,4500,https://github.com/jagenjo/webglstudio.js
18,openscad,openscad,4500,https://github.com/openscad/openscad
19,YadiraF,PRNet,4500,https://github.com/YadiraF/PRNet
20,AaronJackson,vrn,4400,https://github.com/AaronJackson/vrn
21,ssloy,tinyraytracer,4000,https://github.com/ssloy/tinyraytracer
22,google,model-viewer,3900,https://github.com/google/model-viewer
23,mosra,magnum,3800,https://github.com/mosra/magnum
24,gfxfundamentals,webgl-fundamentals,3400,https://github.com/gfxfundamentals/webgl-fundamentals
25,FyroxEngine,Fyrox,3300,https://github.com/FyroxEngine/Fyrox
26,cleardusk,3DDFA,3200,https://github.com/cleardusk/3DDFA
27,jasonlong,isometric-contributions,3100,https://github.com/jasonlong/isometric-contributions
28,tengbao,vanta,3100,https://github.com/tengbao/vanta
29,cnr-isti-vclab,meshlab,2700,https://github.com/cnr-isti-vclab/meshlab
